t,B,R,E
0,0.05,0,0
0.1,0.0504771431680392,0.0014921985480682,1.48733474717969e-05
0.2,0.0509585954056222,0.00296908580961218,5.89934451415302e-05
0.3,0.0514443909500371,0.00443109346605914,0.00013162523304318
0.4,0.0519345642208339,0.00587864567060476,0.00023205308886132
0.5,0.0524291498189787,0.00731215920268322,0.000359580390643337
0.6,0.05292818252596,0.00873204361935265,0.000513529089057576
0.7,0.0534316973028477,0.0101387014036557,0.000693239288994648
0.8,0.0539397292893039,0.011532528110014,0.000898068840313337
0.9,0.0544523138025437,0.0129139125067127,0.00112739293753666
1,0.054969486336246,0.0142832367155331,0.00138060372830761
1.1,0.0554912825594129,0.0156408763485863,0.00165710993041814
1.2,0.0560177383151773,0.0169872006424035,0.00195633645722867
1.3,0.0565488896195574,0.0183225725893341,0.0022777240512993
1.4,0.0570847726601571,0.0196473490663051,0.00262072892605759
1.5,0.0576254237948124,0.0209618809609903,0.00298482241533126
1.6,0.0581708795501808,0.0222665132954416,0.00336949063057795
1.7,0.0587211766202759,0.0235615853472281,0.00377423412564741
1.8,0.0592763518649428,0.0248474307681332,0.00419856756891511
1.9,0.0598364423082761,0.0261243777004542,0.00464201942262938
2,0.0604014851369784,0.0273927488909521,0.00510413162931766
2.1,0.0609715176986581,0.0286528618024948,0.00558445930510055
2.2,0.0615465775000667,0.0299050287234383,0.00608257043976533
2.3,0.062126702205273,0.0311495568747886,0.00659804560345411
2.4,0.0627119296337753,0.0323867485151869,0.00713047765982417
2.5,0.0633022977585486,0.0336169010437582,0.00767947148554165
2.6,0.0638978447040272,0.0348403071008654,0.00824464369597202
2.7,0.0644986087440216,0.0360572546668064,0.00882562237693409
2.8,0.065104628299568,0.0372680271584945,0.00942204682238672
2.9,0.0657159419367101,0.03847290352416,0.0100335672779203
3,0.0663325883642122,0.0396721583361083,0.0106598446899276
3.1,0.0669546064312027,0.0408660618815739,0.0113005504603315
3.2,0.0675820351247461,0.0420548802517034,0.0119553662067489
3.3,0.0682149135673441,0.0432388754287032,0.0126239835279733
3.4,0.0688532810143635,0.0444183053711869,0.0133061037746615
3.5,0.0694971768513908,0.0455934240977549,0.0140014378251104
3.6,0.0701466405915119,0.0467644817688392,0.0147097058660136
3.7,0.0708017118725164,0.0479317247668457,0.0154306371780903
3.8,0.0714624304540251,0.0490953957746258,0.01616396992648
3.9,0.0721288362145407,0.0502557338523069,0.0169094509557988
4,0.0728009691484193,0.0514129745125137,0.0176668355897561
4.1,0.0734788693627624,0.052567349794008,0.018435887435232
4.2,0.0741625770742296,0.0537190883337776,0.0192163781907183
4.3,0.0748521326057689,0.0548684154376014,0.0200080874590269
4.4,0.0755475763832651,0.0560155531491188,0.0208108025641724
4.5,0.0762489489321055,0.0571607203174313,0.0216243183723375
4.6,0.0769562908736603,0.0583041326632613,0.0224484371168316
4.7,0.0776696429216797,0.0594460028436957,0.0232829682269542
4.8,0.0783890458786032,0.0605865405155395,0.0241277281606783
4.9,0.0791145406317833,0.0617259523973027,0.0249825402410674
5,0.0798461681496208,0.062864442329848,0.0258472344963468
5,0.0388653024765872,0.103845308002882,0.0258472344963468
5.1,0.039240577781314,0.1029489931881,0.0275148594821687
5.2,0.0396193272974971,0.10208162471439,0.0291401530545536
5.3,0.0400015802929669,0.101242733032423,0.0307243153635474
5.4,0.0403873662259289,0.100431858762721,0.0322685194719034
5.5,0.0407767147450731,0.0996485524999339,0.0337739119582851
5.6,0.0411696556896559,0.0988923746209993,0.0352416135076412
5.7,0.0415662190895536,0.0981628950970988,0.0366727194890217
5.8,0.0419664351652877,0.0974596933093436,0.0380683005210949
5.9,0.0423703343280215,0.0967823578681069,0.0394294030256235
5.99999999999999,0.0427779471795254,0.096130486435935,0.0407570497691489
6.09999999999999,0.0431893045121128,0.0955036855539621,0.0420522403931316
6.19999999999999,0.0436044373085444,0.0949015704717611,0.0433159519327864
6.29999999999999,0.0440233767419003,0.0943237649805595,0.0445491393248496
6.39999999999999,0.0444461541754197,0.0937699012497543,0.0457527359045084
6.49999999999999,0.0448728011623072,0.0932396196666579,0.0469276538917197
6.59999999999999,0.0453033494455051,0.0927325686794119,0.0480747848671378
6.69999999999999,0.0457378309574306,0.0922484046430034,0.0491950002378702
6.79999999999999,0.0461762778196781,0.0917867916683229,0.0502891516932725
6.89999999999999,0.0466187223426846,0.0913474014742006,0.0513580716509907
6.99999999999999,0.0470651970253583,0.0909299132423633,0.0524025736934548
7.09999999999999,0.0475157345546699,0.0905340134752503,0.0534234529950233
7.19999999999999,0.0479703678052045,0.0901593958566337,0.0544214867399743
7.29999999999999,0.0484291298386752,0.0898057611149831,0.0553974345315328
7.39999999999999,0.0488920539033959,0.0894728168895223,0.0563520387921247
7.49999999999999,0.0493591734337137,0.0891602775989204,0.0572860251550378
7.59999999999999,0.0498305220493992,0.0888678643125673,0.0582001028476717
7.69999999999999,0.0503061335549948,0.0885953046243775,0.0590949650665514
7.79999999999999,0.0507860419391197,0.0883423325290747,0.059971289344278
7.89999999999999,0.0512702813737305,0.0881086883009028,0.0608297379085838
7.99999999999999,0.0517588862133371,0.0878941183747179,0.0616709580336583
8.09999999999999,0.0522518909941731,0.0876983752294092,0.0624955823839065
8.19999999999999,0.0527493304333192,0.0875212172736044,0.0633042293502976
8.29999999999999,0.0532512394277795,0.0873624087336102,0.0640975033794602
8.39999999999999,0.0537576530535093,0.0872217195435449,0.0648759952956748
8.49999999999999,0.0542686065643942,0.0870989252376159,0.0656402826159129
8.59999999999999,0.0547841353911783,0.0869938068444997,0.0663909298580688
8.69999999999999,0.0553042751403428,0.0869061507837804,0.0671284888425263
