t,B,R,E
0,0.05,0,0
0.1,0.0504974332777515,5.01231055176546e-05,1.24581500157286e-07
0.2,0.0509997643654462,0.000100494853690765,4.96670496238521e-07
0.3,0.0515070404684278,0.000151118913522119,1.11382513220148e-06
0.4,0.0520193092266327,0.000201998983019442,1.97365818664723e-06
0.5,0.0525366187181814,0.000253138789486031,3.0738364040808e-06
0.6,0.0530590174629906,0.000304542089813535,4.41207983757564e-06
0.7,0.0535865544264081,0.000356212670776888,5.98616120268301e-06
0.8,0.0541192790228667,0.000408154349331408,7.79390524242927e-06
0.9,0.0546572411195612,0.000460370972912068,9.83318810324713e-06
1,0.0552004910401448,0.000512866419734956,1.21019367216885e-05
1.1,0.055749079568447,0.000565644599100923,1.45981282217697e-05
1.2,0.0563030579522127,0.000618709451701445,1.73197893228013e-05
1.3,0.0568624779068614,0.000672064949926689,2.02649957575575e-05
1.4,0.0574273916192671,0.000725715098175808,2.34318717006425e-05
1.5,0.057997851751559,0.000779663933169472,2.68185892069128e-05
1.6,0.0585739114449422,0.000833915524264637,3.04233676598164e-05
1.7,0.0591556243235389,0.000888473973771564,3.42444732295136e-05
1.8,0.0597430444982495,0.000943343417273106,3.82802183406435e-05
1.9,0.0603362265706344,0.000998528023946254,4.25289611496051e-05
2,0.0609352256368142,0.00105403199688597,4.69891050312218e-05
2.1,0.0615400972913911,0.00110985957343131,5.16590980746616e-05
2.2,0.0621508976313893,0.00116601502549381,5.65374325884852e-05
2.3,0.062767683260214,0.00122250265988821,6.16226446147e-05
2.4,0.0633905112916311,0.0012793268186655,6.69133134516945e-05
2.5,0.0640194393537644,0.00133649187944823,7.24080611859345e-05
2.6,0.0646545255931128,0.00139400225576816,7.8105552232301e-05
2.7,0.0652958286785853,0.00145186239740631,8.40044928829534e-05
2.8,0.065943407805555,0.00151007679073523,9.01036308646021e-05
2.9,0.0665973226999311,0.00156864995906373,9.64017549040774e-05
3,0.0672576336222484,0.00162758646298389,0.000102897694302082
3.1,0.0679244013717754,0.00168689090072046,0.00010959031851502
3.2,0.0685976872906395,0.00174656790848259,0.000116478536744787
3.3,0.069277553267969,0.00180662216081797,0.000123561297536422
3.4,0.0699640617440532,0.00186705837096935,0.000130837588383513
3.5,0.0706572757145177,0.00192788129123336,0.000138306435341254
3.6,0.0713572587345176,0.0019890957133218,0.000145966902647042
3.7,0.072064074922946,0.00205070646872532,0.000153818092348532
3.8,0.0727777889666584,0.00211271842907939,0.000161859143939031
3.9,0.073498466124713,0.00217513650653281,0.000170089234000151
4,0.0742261722326256,0.00223796565411849,0.000178507575851606
4.1,0.07496097370664,0.00230121086612673,0.000187113419208085
4.2,0.0757029375480126,0.00236487717848081,0.000195906049843072
4.3,0.076452131347311,0.00242896966911513,0.000204884789259557
4.4,0.0772086232887267,0.00249349345835557,0.000214048994367529
